I,Vout,V,D,P,Irradiance,Temperature
5.08611967072561,49.496559481759206,28.7343765349595,423,152.868112009182,741,34
5.456697049051651,48.1779819175466,25.262226869257603,473,145.28229329333402,741,46
5.31091210119793,49.2174890777401,27.1153523866796,445,150.85515343274,771,46
5.38261557058002,51.082480915493704,29.1204170783246,433,162.778025455764,771,28
3.6873971107843597,42.507277752402395,29.3101175583326,311,112.760204664432,531,28
3.91426157040164,39.7156556211519,23.998747963958397,397,98.646913605725,531,58
7.460308845745731,54.9456844502655,24.551853841605702,0.5529999999999999,188.14437552904099,1035,58
7.4240638066525,59.434467216672495,28.649701005773,515,220.639910970574,1035,23
6.950372139127929,57.661977918800204,28.7299622953535,499,207.754200111662,970,23
6.7701205360209,54.623212153616294,26.519105752290002,519,186.06168354248402,970,48
5.02224746306458,46.0626818200947,25.116549757034196,0.45299999999999996,132.821824601556,683,48
4.96209926284464,45.2043081201554,24.705286247126697,451,127.54433590401399,683,56
7.29278987857828,56.6475436146475,26.002738593186496,541,199.798645980363,1087,56
7.97172313289456,58.749473432018696,26.0778975469115,0.5529999999999999,215.978014734685,1087,39
5.69452592357057,50.2965750245751,26.592504751831104,469,158.154273290661,784,39
5.783067127918019,48.357923270075,24.205299599843997,0.49700000000000005,146.34896191892798,784,56
3.6676927032277797,39.745204839805105,25.6168461362741,353,98.4573086132496,526,56
3.7209893154310203,43.676356292202605,30.675711405244797,299,119.167641833549,526,12
6.48021216297057,58.6311037135461,31.5812452366101,457,214.073150149432,958,12
6.83338682954116,55.529176828264504,27.2514719487813,509,192.25009438807498,958,38
5.041940872333,47.3051985443734,26.399959414471397,0.44299999999999995,140.02844886298402,688,38
4.7063589400528,50.052849652765296,31.8345055301155,0.36700000000000005,156.321609239387,688,10
3.6887478324423904,44.27561044354729,31.795770552841603,281,122.35270801380699,537,10
3.82337650403853,43.6953063790227,29.724913799906503,319,119.441214914926,537,17
7.095024423247071,61.144210199897,31.145107678711902,485,232.815893432871,1067,17
7.08496540529258,59.555739765804006,29.511722941537105,503,220.906563873144,1067,30
3.1484011521234,39.2804193273791,29.241705509091602,257,96.2974760127387,457,30
3.1941613275569702,40.011440199868105,30.003701194214,249,99.8710700580237,457,21
4.93441262369533,50.619029754489496,30.7515978101171,395,159.847926821805,734,21
4.99549719962778,49.0110901311725,28.485332564345498,415,149.711103946251,734,37
7.69247412002923,58.9137515558494,27.2612341880019,0.5329999999999999,216.150239637487,1079,37
7.767674558338539,60.3886700398094,28.3365739214535,0.5329999999999999,227.68308192733798,1079,25
6.0783295260779,53.449511761477396,28.0120848801654,0.47700000000000004,178.71546714103403,836,25
5.98791338592552,51.112663144923495,26.253962219408397,483,162.79465353437402,836,46
5.67697771352558,50.3523133622005,26.8245046816293,0.47100000000000003,158.164533916889,811,46
5.877150341284031,51.1847566506715,26.764500914594496,479,163.725415526727,811,39
5.016467868300349,47.684093932196,27.234127914225603,431,141.888766570992,702,39
4.90140422305845,49.3920444732508,29.8714294084164,397,152.17760706006,702,22
5.218111601080639,52.147007370039,30.7229421291287,0.41100000000000003,169.607983163934,783,22
5.239912907569781,53.0356334062288,31.812955881603102,0.40299999999999997,175.49310661755,783,13
7.23382649882259,60.62605138497229,30.6261346655095,0.49700000000000005,229.127734997943,1034,13
7.39445134482802,60.919190693890705,30.026029729927302,505,232.221956623678,1034,10
4.48722291796014,48.02797545661161,30.6513693152683,363,144.17851199760202,632,10
4.39519437151026,47.2011976225208,30.371950292083998,359,138.98788042766398,632,19
3.5984212374737696,42.88056081603921,30.590919999755997,289,114.75667039343399,521,19
3.7220191910993905,41.490375113772004,27.621659250008,0.33299999999999996,107.510348326569,521,35
4.83958985630698,46.9252658730267,27.106164684897298,0.42100000000000004,137.761902118214,668,35
4.869516385547049,46.3349785949154,26.335135833801697,433,134.201461627735,668,41
3.9884912851725205,42.2777400034589,26.8335303171281,0.36700000000000005,111.607923378781,555,41
3.93438408968319,44.50723696052339,29.991764618452702,325,123.84966036671801,555,16
4.767578021299309,49.329984148514,30.533973539144203,379,151.74095463599,683,16
4.60481877530589,49.332166744959295,31.3700120552912,0.36700000000000005,151.83440228145,683,16
5.666813472070731,53.993963005024206,30.769021334800897,0.42700000000000005,181.65998642701402,821,16
5.850019868234599,52.8893518370233,28.6938766718346,455,174.575016433826,821,26
5.22537591964928,50.697743027449505,29.4115687909779,0.41700000000000004,160.144882338284,751,26
5.37542753266122,51.8292861314,29.605206361808897,0.42700000000000005,168.142394984215,751,14
4.53213972841235,47.899410988228105,30.159264601792103,369,143.481895688749,639,14
4.46957549550947,46.4384470998698,28.8372775792525,377,134.400321962048,639,30
6.8747353592978895,57.83744458238811,29.105684222323397,501,208.569597847229,1005,30
6.933276663513531,58.524475513605395,29.6869836756596,0.49700000000000005,213.58350646475202,1005,24
4.1446456929387,44.6059261767159,28.553517041549398,361,124.439671280751,575,24
3.9537370443665703,42.9448408983455,27.7216933466836,0.35700000000000004,115.02806394422,575,42
4.662770308313269,45.6195207439538,26.775831254365002,415,129.900336589474,650,42
4.39951329094556,47.67027224814,30.680727831900395,359,141.767526218933,650,21
5.18225350797054,50.731079987567604,29.7579228693597,0.41100000000000003,160.4455053516,738,21
5.21682035990201,48.429629878752,27.0208458296089,445,146.32895619042,738,43
2.8971760600948797,35.519417460712795,25.9325764002135,271,78.919223024296,396,43
2.7994630042621,37.371609134421,29.984453335096998,0.19699999999999998,87.2211097602359,396,19
3.5544795716040896,42.97430735729711,30.9177820010494,0.28300000000000003,115.242567231423,523,19
3.62629409671692,43.3928931594626,31.118690460416197,285,117.534118961962,523,14
3.0094097248178,39.7046583952996,31.344826097077103,209,98.40377298925779,438,14
3.06799510613869,36.2458002864296,25.4889752450461,295,81.92441369043429,438,56
3.0998645449896602,35.644934330753,24.465443280461802,315,79.41299214712559,424,56
2.9463068608406604,37.184014534127,28.011032059119398,247,86.2885640110214,424,38
7.267257085596079,57.195267149701394,27.197575320752698,527,203.98111110961798,1018,38
7.470542788349731,58.0208833718231,26.940178642974,537,210.75216038586004,1018,31
2.7301495658449,35.48410434698071,27.5382016624368,225,78.7719828724666,375,31
2.60936072006642,36.643375233726395,31.041254826409503,151,83.83644305369342,375,15
6.89057806553493,58.8807999167558,30.2497400993924,483,216.224883844598,980,15
7.14534397315156,56.10854885984071,26.4907274469905,525,196.848856226917,980,38
5.235995367994089,48.7148164790844,27.2332990382621,0.44299999999999995,148.109002388715,730,38
5.09681246204139,51.047699121069606,30.6858961909865,401,162.56293964076,730,15
3.10025235633467,39.481731248888295,29.988184485381602,0.24100000000000002,97.5470272882471,435,15
3.02291743017766,38.952351522596295,30.12094180686,0.22699999999999998,94.70594126505242,435,22
4.972245141531371,49.946165333280895,30.065537216989604,401,155.634775842847,718,22
5.1687426656134505,50.4387254721768,29.256382156694897,0.42100000000000004,159.151210792099,718,17
5.72092727810995,53.1733935964816,29.5880002299327,445,176.640931175707,800,17
5.40746185634774,52.300822883051396,29.967197007048696,423,170.452810099113,800,26
2.88900631716357,37.820119724892,29.6258158425358,215,89.2941194344523,417,26
2.8781760538449705,37.7456996332792,29.581235134323503,215,88.9321764534175,417,27
7.9560773878645,60.21727066877911,27.1037599290491,547,227.17303082396802,1084,27
7.2853524193021295,56.4497146878134,25.8526592380836,535,198.276667829105,1084,57
6.12121037539358,49.9241003793153,24.537086972125604,511,155.632312532845,840,57
6.11146327741434,50.1522607805867,24.765324409552804,503,157.00776922814302,840,55
4.8434481783278205,45.7637548551371,25.8339080295607,439,130.660715145505,696,55
5.03165323839657,46.3134886454801,25.614095305754798,449,133.891568366063,696,50
